mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
60	60	531/2	531/2	1.5	0	0	9/8	2	1	ii65(2)	Db	I		ii65(2)	ii		65	2				mm7	0	0	-1, 3, 0, 4		2	-1
60	60	267	267	3.0	3/8	3/8	9/8	2	1	ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
61	61	270	270	1.5	0	0	9/8	2	1	V43(2)/IV	Db	I		V43(2)/IV	V		43	2	IV			Mm7	0	0	1, -2, 2, 4		0	1
61	61	543/2	543/2	3.0	3/8	3/8	9/8	2	1	V43/IV	Db	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
62	62	549/2	549/2	3.0	0	0	9/8	2	1	vi(4)	Db	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3
62	62	555/2	555/2	1.5	3/4	3/4	9/8	2	1	vi	Db	I		vi	vi							m	0	0	3, 0, 4		3	3
63	63	279	279	1.5	0	0	9/8	2	1	I6	Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
63	63	561/2	561/2	1.5	3/8	3/8	9/8	2	1	vi64	Db	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
63	63	282	282	1.5	3/4	3/4	9/8	2	1	I6	Db	I		I6	I		6					M	0	0	4, 1, 0		0	4
64	64	567/2	567/2	4.5	0	0	9/8	2	1	ii7	Db	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
65	65	288	288	1.5	0	0	9/8	2	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
65	65	579/2	579/2	1.5	3/8	3/8	9/8	2	1	iii6	Db	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
65	65	291	291	1.5	3/4	3/4	9/8	2	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	66	585/2	585/2	1.5	0	0	9/8	2	1	I|PAC}	Db	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
66	66	294	294	1.5	3/8	3/8	9/8	2	1	iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
66	66	591/2	591/2	1.5	3/4	3/4	9/8	2	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
67	67	297	297	1.5	0	0	9/8	2	1	iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
67	67	597/2	597/2	1.5	3/8	3/8	9/8	2	1	bIII6	Db	I		bIII6	bIII		6					M	0	0	1, -2, -3		-3	1
67	67	300	300	1.5	3/4	3/4	9/8	2	1	i64	Db	I		i64	i		64					m	0	0	1, 0, -3		0	1
68	68	603/2	603/2	1.5	0	0	9/8	2	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
68	68	303	303	1.5	3/8	3/8	9/8	2	1	iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
68	68	609/2	609/2	1.5	3/4	3/4	9/8	2	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
69	69	306	306	1.5	0	0	9/8	2	1	iii	Db	I		iii	iii							m	0	0	4, 1, 5		4	4
69	69	615/2	615/2	1.5	3/8	3/8	9/8	2	1	bIII6	Db	I		bIII6	bIII		6					M	0	0	1, -2, -3		-3	1
69	69	309	309	1.5	3/4	3/4	9/8	2	1	i64	Db	I		i64	i		64					m	0	0	1, 0, -3		0	1
70	70	621/2	621/2	1.5	0	0	9/8	2	1	bIII6	Db	I		bIII6	bIII		6					M	0	0	1, -2, -3		-3	1
70	70	312	312	3.0	3/8	3/8	9/8	2	1	i64	Db	I		i64	i		64					m	0	0	1, 0, -3		0	1
71	71	315	315	9.0	0	0	9/8	2	1	I	Db	I		I	I							M	0	0	0, 4, 1		0	0
